Doctor Name,Years of Experience,PMC Verified,Type,About,Services,Education and Certification,Experience,Clinic Name,Clinic Address,Clinic Fees,Clinic Schedule,Consultation,Consultation Fees,Consultation Schedule,Page Url
Asst. Prof. Dr. Sajid Khan,13 Year,Yes,Oncologist,"Asst. Prof. Dr. Sajid Khan  is a Oncologist/Cancer Specialist . He is having over 12 years of experience in the field of  Medical Oncology  and practices at  Kuwait Teaching Hospital .  His field of interest includes  Lung Cancer, Acute Lymphocytic Leukemia, Acute Myelogenous Leukimia, Adnexal Tumors, Adrenal Cancer, Ampullary Cancer, Amyloidosis, Bone Cancer, Brain Metastases, Carcinoid Syndrome, Carcinoid Tumors, Carcinoma Of Unknown Primary, Cholangiocarcinoma (bile Duct Cancer), Chondrosarcoma, Chronic Lymphocytic Leukemia, Chronic Myelogenous Leukemia, Cushing Syndrome, Ductal Carcinoma In Situ (DCIS), Endometrial Cancer, Floor Of The Mouth Cancer, Head And Neck Cancers, Hurthle Cell Cancer, Inflammatory Breast Cancer, Kidney Cancer, Leukemia, Lip Cancer, Liposarcoma, Lynch Syndrome, Male Breast Cancer, Peripheral Nerve Tumors, Pituitary Tumors, Salivary Gland Tumors, Skin Cancer, Spinal Cord Tumor, Stomach Cancer, Suspicious Breast Lumps, Testicular Cancer, Throat Cancer, Tongue Cancer, Tonsil Cancer, Ureteral Cancer, Cancer Of Cervix","Lung Cancer


Amyloidosis


 Bone Cancer


Chondrosarcoma


Adnexal Tumors


Adrenal Cancer


Brain Metastases


Carcinoid Tumors


Ampullary Cancer


Cushing Syndrome


Gallbladder Cancer


Spinal Cord Tumor


Endometrial Cancer


Carcinoid Syndrome


Head And Neck Tumors


Hurthle Cell Cancer


Head And Neck Cancers


Floor Of The Mouth Cancer


Acute Lymphocytic Leukemia


Acute Myelogenous Leukimia


Inflammatory Breast Cancer


Carcinoma Of Unknown Primary
 

Chronic Lymphocytic Leukemia


Chronic Myelogenous Leukemia


Ductal Carcinoma In Situ (DCIS)


Cholangiocarcinoma (bile Duct Cancer)",,,Kuwait Teaching Hospital,"Adjacent to Jawad Towers, Jahangir Abad Tahkal, University Road, Peshawar",Rs. 1500,"Monday
2:00pm - 5:00pm
Tuesday
2:00pm - 5:00pm
Wednesday
2:00pm - 5:00pm
Thursday

2:00pm - 5:00pm

Friday

2:00pm - 5:00pm

Sunday

- 5:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/peshawar/oncologist/asst-prof-dr-sajid-khan
Dr. Atiq Ur Rehman,27 Year,Yes,Internal Medicine,,"ECG


Biopsy


Gastroscopy


Colonoscopy


Oesophagoscopy


Family Medicine


Thyroid Treatment


Obesity Management


Diarrhea Treatment


Diabetes Management


Corona-Virus Treatment


Hepatitis C Treatment


Hepatitis B Treatment


Hepatitis A Treatment


Constipation Treatment


Heart Attack Management


Osteoporosis Management


Pain Management Services


Cardiac Patient Management


Digital Rectal Examination


 Cardiology Medicine (General)


Metabolic Disorders Treatement


Stenosis And Valvular Regurgitation",,,Chughtai Medical Center Johar Town,"Khokhar Chowk 7 Block M, Johar Town Phase 2, Lahore",Rs. 2000,"Monday
8:00pm - 10:00pm
Tuesday
8:00pm - 10:00pm
Wednesday
8:00pm - 10:00pm
Thursday

8:00pm - 10:00pm

Friday

8:00pm - 10:00pm

Saturday

8:00pm - 10:00pm
 
Sunday

- 10:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/internal-medicine/dr-atiq-ur-rehman
Dr. Amna Ali,14 Year,Yes,Dermatologist,"Qualification: MBBS MCPS (Dermatology) Experience Noor General Hospital as Consultant Dermatologist Dr. Amna Ali  is a Dermatologist .  She is having over 12 years of experience in the field of Dermatology and practices at  Noor General Hospital .  Her field of interest includes  PRP, Skin Toning, Chemical Peel, LASER For Skin, Microdermabrasion, Pimples, Skin Peeling","Pimples


Skin Toning


Skin Peeling


PRP Treatment


Laser Treatment


Chemical Peeling


Microdermabrasion",,,,,,,,,,https://instacare.pk/doctors/islamabad/dermatologist/dr-amna-ali
Ali Ajmal,12 Year,No,Psychologist,"Ali Ajmal  is a  Psychologist . He is having over 10 years of experience in the field of  Psychology  and practices at  Bajwa Hospital & Cardiac Center (Allama Iqbal Town) .  His field of interest includes Anxiety Disorder, Depression, Early Parenting Issues, Emotional Outbursts, Family Problems, Panic Disorder, Phobias, Social Phobia.","Phobias


Depression


Social Phobia


Panic Disorder


Family Problems


Anxiety Disorder


Emotional Outbursts


Behavioral Therapy


Early Parenting Issues


Autism Spectrum Disorder",,,Bajwa Hospital and Cardiac Center,"356-Kashmir Block, Hafeez Taib Road, Allama Iqbal Town, Lahore",Rs. 3000,"Monday
9:00am - 11:00pm
Tuesday
9:00am - 11:00pm
Wednesday
9:00am - 11:00pm
Thursday

9:00am - 11:00pm

Friday

9:00am - 11:00pm

Saturday

9:00am - 11:00pm

Sunday

9:00am- 11:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/psychologist/ali-ajmal
Dr. Awais Hussain,8 Year,Yes,Dentist,"BDS C-Implant FCPS (Trg) OMFS Experience: Cure Dental Clinic & Maxillofacial Surgery Centre Dr. Awais Hussain  is a  Dentist, Oral & Maxillofacial Surgeon and Implantologist . He is having over 7 years of experience in the field of Dentistry and practices at  .  His field of interest includes  Teeth Whitening, Braces, Ceramic Braces, Metal Braces, Dental Implants, Invisible Braces, Orthognathic Surgery, Artificial Teeth, Teeth Cleaning, Bone Grafting, Dentures, Veneers, Aesthetic Crown And Bridges, Bleaching, Disimpactions, Fillings, Gums Treatment, Implants, Jewel Teeth, Lingual Orthodontics, Orthodontic Treatment, Root Canal, Rotary Rct, Scaling, Sealants, Smile Design","Braces


Scaling


Dentures
 

Fillings


Implants


Sealants


Bleaching


Root Canal


Rotary Rct


Jewel Teeth


Metal Braces


Smile Design


Bone Grafting


Disimpactions


sinus lesions


Ceramic Braces


Teeth Cleaning


Dental Implants


Teeth Whitening


Artificial Teeth


Invisible Braces


Lingual Orthodontics


Orthodontic Treatment


Full mouth rehabilitation


Aesthetic Crown And Bridges


Porcelain fused to metal crowns


Full Mouth Implant Rehabilitation
 

Crown and bridge work including Zirconia",,,,,,,,,,https://instacare.pk/doctors/rawalpindi/dentist/dr-awais-hussain
Dr. Aroona Kanwal,36 Year,Yes,Gynecologist,"Dr. Aroona Kanwal  is a Gynecologist and Obstetrician.  She is having over 36 years of experience in the field of  Gynecology  and Obstetrician. She practices at  Anum Hospital .  Her field of interest includes  Infertility Treatment, Laparoscopy, Epidural Analgesia, Painless Delivery, Chorionic Villous Amniocentesis,  Laparoscopy And Hysteroscopy, Caesarean Section/ C-Section, Clinical Breast Examination (CBE), Normal Delivery, Tubal Ligation, Amenorrhea (missed Periods), Uterine Prolapse, Congenital Abnormalities, Fibroids (Uterine), Hormone Disorders, Ovarian Hypofunction, Abnormal Bleeding, Aesthetic Gynecology, Aesthetic Gynecology For Vaginal Laxity, Antenatal Checkup, Antenatal Exercises, Chorionic Villous Sampling, Contraception Advice, IUCD (Coil)  Placement, Ovarian Cyst, Pap Smear, Post-Menopausal Bleeding, Sexual Dysfunction Among Women, TVS And Obstetrical Ultrasound, Urine Leakage, Vaginal Trauma After Child Birth.","Pap Smear


Tubectomy


Laparoscopy


Urine Leakage


Tubal Ligation


Normal Delivery


Vaginal laxity


Uterine Prolapse


Abnormal Bleeding


Antenatal Checkup


Bladder Prolapse


Hormone Disorders


Painless Delivery


Fibroid treatment


Treatment of PCO


Postnatal Checkup


Fibriod Treatment


Epidural Analgesia


Aesthetic Gynecology


Ovarian Hypofunction


Post nasal check up


Infertility Treatment


IUCD (Coil) Pacement


Gestational Diabetes


Subfertilty Treatment


Congenital Abnormalities


Post-Menopausal Bleeding


Endometriosis Treatment


Chorionic Villous Sampling


Caesarean Section/ C-Section


Dealing with risk pregnancy",,,Anum Hospital,"C24, W645+CR2, Khokhrapar Number 2, Extension Colony Pak Kausar Town, Malir, Karachi",Rs. 500,"Tuesday
6:00pm - 10:00pm
Thursday

6:00pm - 10:00pm",,,,https://instacare.pk/doctors/karachi/gynecologist/dr-aroona-kanwal
Dr. Akhtar Zaman,18 Year,Yes,ENT Surgeon,"MBBS FCPS (ENT) MCPS (ENT) MD. Experience: Advanced International Hospital. Dr. Akhtar Zaman  is a  ENT Surgeon . He is having over 17 years of experience in the field of   ENT  and practices at  Advanced International Hospital . His field of interest includes Balloon Sinuplasty, Cold And Influenza, Ear Cleaning, Ear Discharge, Endoscopic Sinus Surgery, Head & Neck Cancer Surgery, Head & Neck Surgery, Microdebrider Assisted Surgery, Middle Ear Surgery, Nose Blockage Issue, Re-shaping of Nose, Thyroid Surgery, Tonsillitis Treatment .","FESS


ENT Surgery


Myringotomy


Septoplasty


Laryngoscopy


Ear Cleaning


Endoscopic DCR


Ear Discharge


Nasal Endoscopy


Opd Laryngoscopy


Ear Wax Removal


Allergy Treatment


Ear Lobe Repairs


Balloon Sinuplasty


Endoscopic Surgery


Middle Ear Surgery


Hearing Aid Fitting


Tinnitus treatment


Oncological Surgery


Vertigo And Dizziness


Foreign Body Impaction


Tonsil, Adenoid Surgeries


Endoscopic Sinus Surgery


Head & Neck Cancer Surgery


Treatment For Nose Ailments


Microdebrider Assisted Surgery


Diagnostic Endoscopy Of Nose And Throat",,,Advanced International Hospital,"12-G, G-8 Markaz, Islamabad",Rs. 2000,"Monday
12:00pm - 1:00pm
Tuesday
12:00pm - 1:00pm
Wednesday
12:00pm - 1:00pm
Thursday

12:00pm - 1:00pm

Friday

12:00pm - 1:00pm

Saturday

12:00pm - 1:00pm

Sunday

- 1:00pm",,,,https://instacare.pk/doctors/islamabad/ent-surgeon/dr-akhtar-zaman
Asst. Prof. Dr. Anees Ur Rehman,12 Year,Yes,Urologist,"Asst. Prof. Dr. Anees Ur Rehman  is a Urologist, Sexologist and Andrologist. He is having over 10 years experience in the field of Urology and  practising at  Metropolis Health Hospital . His field of interest includes  Kidney Cancer, Laproscopic Nephrectomy, Nephrectomy, Percutaneous Nephrolithotomy (PCNL), Prostatectomy, Pyelolithotomy, Radical Prostectomy, TURP.","TURP


Nephrectomy


Prostatectomy


Pyelolithotomy


Kidney Cancer


Percutaneous Nephrolithotomy (PCNL)",,,Metropolis Health Hospital,"Suit no. 555, Block-C, 5th Floor, The Doctor Plaza, Khayaban E Iqbal, Block 9, Clifton, Karachi",Rs. 1500,"Tuesday
7:00pm - 9:00pm
Friday

7:00pm - 9:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/karachi/urologist/asst-prof-dr-anees-ur-rehman
Dr. Javed Iqbal,41 Year,Yes,ENT Specialist,"Dr. Javed Iqbal  is a  ENT Specialist . He is having over 40 years of experience in the field of  ENT  and practices at  Boots Medical Centre Askari-X . His field of interest includes   Adenoidectomy, Allergy Treatment, Coblation, Diagnostic Endoscopy Of Nose And Throat, Ear Cleaning, Ear Suction, Ear Wax Removal, ENT Surgery, Excision of Nasal Dermoid, Functional Endoscopic Sinus Surgery(FESS), Fungal Sinus Clearance, Grommet Insertion, Mastoidectomy-Clearance of Mastoid Disease with Cholesteatoma, Nasal Polypectomy, Pinnaplasty-Reshaping of Ears .","FESS


Coblation


ENT Surgery


Ear Cleaning


Adenoidectomy


Dust Allergy


Deviated Septum


Ear Wax Removal


Allergy Treatment


Adenoid Infection


Nasal Polypectomy


Grommet Insertion


Asthma And Allergy


Fungal Sinus Clearance


Excision of Nasal Dermoid


Diagnostic Endoscopy Of Nose And Throat


Mastoidectomy-Clearance of Mastoid Disease with Cholesteatoma",,,,,,,,,,https://instacare.pk/doctors/lahore/ent-specialist/dr-javed-iqbal
Dr. Abdul Salam Wazir,20 Year,Yes,Cardiologist,"Dr. Abdul Salam Wazir  is a Pediatric Cardiologist and  Pediatrician . He is having over 20 years of experience in the field of Cardiology  and practices at  HM Diagnostics & Clinics .  His field of interest includes Percutaneous Coronary Intervention, Pericardial Disease, Peripheral Vascular Disease, Stenosis And Valvular Regurgitation, Stenting Holter Monitoring Ambulatory Bp Monitoring, Stress Echocardiography, Stroke, Trans-Esophageal Echocardiography, Trans-Thoracic Echocardiography, Vascular Disease, Open Heart Surgery.","Stroke


Angioplasty


Angiography


Aorta Disease


Aortic Stenosis


Open Heart Surgery


Pericardial Disease


Cardiology Diseases


Stress Echocardiography


Cardiovascular Diseases


Peripheral Vascular Disease


Trans-Thoracic Echocardiography


Trans-Esophageal Echocardiography


Percutaneous Coronary Intervention


Stenosis And Valvular Regurgitation",,,HM Diagnostics & Clinics,"Basement # 13, 14, Crescent Arcade, Markaz Rd, G-8 Markaz, Islamabad",Rs. 2000,"Monday
4:00pm - 6:00pm
Tuesday
4:00pm - 6:00pm
Wednesday
4:00pm - 6:00pm
Thursday

4:00pm - 6:00pm

Friday

4:00pm - 6:00pm

Saturday

4:00pm - 6:00pm

Sunday

- 6:00pm",,,,https://instacare.pk/doctors/islamabad/cardiologist/dr-abdul-salam-wazir
Dr. Amjad Hussain,35 Year,Yes,General Physician,"Dr. Amjad Hussain  is a  General Physician . He is having over 34 years of experience in the field of General  Physician and practices at  Al Razi Hospital . His field of interest includes  Diabetic Treatment, Anemia, Cardiovascular System, Cerebrovascular Accident, Chronic Obstructive Pulmonary Disease, Dementia, Emphysema, Endocrinological, Gastroenteritis, Gastrointestinal System, Hematology, Ischemic Heart Disease, Liver Disease Including Alcoholic Lever Disease, Lung Fibrosis, Neurological System, Pituitary Disease, Respiratory System Thyroid Disease, 4 D Live Ultrasound, Assessment Of Hyper Tension And Ischemic Diseases, Assessment Of Urogenital System, Biopsy Of All Types, Chest Diseases, Cld Intestine, G.I.T Image Of Liver, Gastrointestinal Issue, Joint Diseases, Minor Surgeries, Respiratory Issues, Skin Diseases, Urinary Tract Issue, Vaccination .","Anaemia


Diabetes


Emphysema


Hepatitis


Chest Pain


Haematology


Vaccination


Lung Fibrosis


Skin Diseases


Joint Diseases


Chest Diseases


Blood Pressure


Minor Surgeries


Thyroid Disease


 Endocrinological


Pituitary Disease


Thyroid Disorders


Diabetes Checkup


Common Ent Problem


Diabetic Treatment


Respiratory Issues


4 D Live Ultrasound


Biopsy Of All Types


Neurological System


G.I.T Image Of Liver


Cardiovascular System


Gastrointestinal System


General Health Checkup


Gestational Diabetes Treatment


Assesment Of Urogenital System


Chronic Obstructive Pulmonary Disease",,,Al Razi Hospital,"2 MM Alam Rd Block C2, Gulberg III, Lahore",Rs. 3000,"Monday
11:00am - 1:00pm
Tuesday
11:00am - 1:00pm
Wednesday
11:00am - 1:00pm
Thursday

11:00am - 1:00pm

Friday

11:00am - 1:00pm

Sunday

- 1:00pm",,,,https://instacare.pk/doctors/lahore/general-physician/dr-amjad-hussain
Dr. Asad Ullah Nemati,27 Year,Yes,Pulmonologist,"Dr. Asad Ullah Nemati  is a  Pulmonologist . He is having over 27 years of experience in the field of Pulmonology and practices at  HM Diagnostics & Clinics . His field of interest includes  Allergy, Bronchoscopy, Allergic Rhintis, Allergies To Industrial And Household Pollutants, Breathlessness, Bronchiectatic Disease, Chronic Bronchillis, Cough With Viscous Sputum, Discharging With Difficulties, Frequent Acute Disorders Of Respiratory Tract, Invasive Ventilation, Mucosal Edema, Mucous Plugs, Pneumonia After Acute Stage, Respiratory Infectious Including Pneumonia, Rhinitis And Respiratory Allergies, Wheezing .","Allergy


Wheezing


Mucous Plugs


Bronchoscopy


Mucosal Edema


Breathlessness


Allergic Rhintis


Chronic Bronchillis


Invasive Ventilation


Bronchiectatic Disease


Pneumonia After Acute Stage


Discharging With Difficulties


Rhinitis And Respiratory Allergies


Allergies To Industrial And Household


Respiratory Infectious Including Pneumonia


Frequent Acute Disorders Of Respiratory Tract",,,HM Diagnostics & Clinics,"Basement # 13, 14, Crescent Arcade, Markaz Rd, G-8 Markaz, Islamabad",Rs. 2000,"Monday
11:00am - 1:00pm
Thursday

11:00am - 1:00pm

Sunday

- 1:00pm",,,,https://instacare.pk/doctors/islamabad/pulmonologist/dr-asad-ullah-nemati
Dr. Arshad Hussain,29 Year,Yes,General Surgeon,"Dr. Arshad Hussain  is a General Surgeon . He is having over 28 years of experience in the field of General Surgery  and practices at  Mukhtar A Sheikh Hospital .  His field of interest includes  Fissure Fistula, Breast Surgery, Parotid Surgery, Diabetic Foot, Abdominal Surgery, Breast Biopsy, Carotid Endarterectomy, Cesarean Section, Dilation And Curettage, Inguinal Hernia Repairs, Mastectomy, Modified Radical Mastectomy, Partial Colectomy, Tonsillectomy, Appendectomy, Breast Cancer Surgery, Breast Cosmetic Surgery, Hemorrhoidectomy, Intestinal Surgery .","Colostomy


Appendix


Mastectomy


Parathyroid


Hemorrhoids


Breast Biopsy


Tonsillectomy


Diabetic Foot


Breast Surgery


Parotid Surgery


Cholecystectomy


Fissure Fistula


Adrenal Surgery


General Surgery


Cesarean Section


 Perianal Surgery


Thyroid Surgery


Bariatric Surgery


Abdominal Surgery


Partial Colectomy


Haemorrhoidectomy


Intestinal Surgery


Laproscopic Surgery


Hepatobiliary Surgery


Breast Cancer Surgery


Dilation And Curettage


Breast Cosmetic Surgery


Inguinal Hernia Repairs


Abdomen Colorectal Surgery


Modified Radical Mastectomy",,,,,,,,,,https://instacare.pk/doctors/multan/general-surgeon/dr-arshad-hussain
Brig. (R) Dr. Ajmal Rashid,32 Year,Yes,Dermatologist,"Brig. (R) Dr. Ajmal Rashid   is a  Dermatologist . He is having over 31 years of experience in the field of Dermatology and practices at  Health Icon Medical & Diagnostic Centre .  His field of interest includes  Cryotherapy And Electrocautery, Q Switch, Burn Surgery, Gynecomastia, Prp Derma Pen, Carbon Facial, Thread Lift, Lip Augmentation, Hair Removal Laser, Pigmentation And Skin Lightening, Dermatitis, Hyperhidrosis, Men's Skin Conditions, Rashes, Sun Damage, 3 D HIFU, Pediatric Dermatology, Alopecia, Bacterial Infections, Breast Augmentation, Carbon Peel, CIT For Skin Tightening And Scar Correction, Double Chin Treatment,  Electrocautery, Eye Brow Lift, Facial Contouring By Fillers, Fat Fillers, Laser And Facial Aesthetician, Laser Treatment, Melasma Treatment, Microdermabrasion, Nail Infections, Phototherapy, PRP And Endoret For Hairs, RF For Skin Tightening, Skin Surgery And Diagnostic Biopsy, Skin Tone Improvements, Tinea Capitis, Vampire Facelift, Vampire Facial, Vitiligo Treatment, Wart Removal.","Rashes


Pimples


3 D HIFU


Feu/ Fut


Q Switch


Sun Damage


Anti Aging


Dermatitis


Psoriasis


Carbon Peel


Wart Removal
 

Mesotherapy


Skin Toning


Eye Brow Lift


Microneedling


Skin Peeling


Prp Derma Pen


Electrocauteri


HYFU/Ultherapy


PRP Treatment


Picosure Laser
 

Acne Treatment


Nail Infections


Chemical Peeling


Lip Augmentation


Melasma Treatment


Acne Scars Removal


Skin Rejuvenation


Acne Scar Treatment


Laser Hair Removal


CO2 Fractional Laser


Double Chin Treatment


RF For Skin Tightening


Antihistamine Treatment


Skin Allergy Treatment


Removal Of Moles & Warts


PRP And Endoret For Hairs


Facial Contouring By Fillers


Cryotherapy And Electrocautery


Adult And Paediatric Dermatology


Skin Surgery And Diagnostic Biopsy


CIT For Skin Tightening And Scar Correction",,,,,,,,,,https://instacare.pk/doctors/karachi/dermatologist/brig-r-dr-ajmal-rashid
Dr. Ahmed Perwaiz,37 Year,Yes,Internal Medicine,"Dr. Ahmed Perwaiz  is a Internal medicine Specialist and Chest Disease Specialist.  He is having over 37 years of experience in the field of  Internal medicine  and practices at  Anum Hospital .  His field of interest includes  Corona-Virus Treatment, GASTRO INTESTINAL PROBLEMS, GI/ Liver Disorders, HEART VALVE DISORDERS, Hepatitis A Treatment, Hepatitis B Treatment, Hepatitis C Treatment, JOINTS AND RHEUMATOLOGICAL DISORDERS,  Migraine,  Asthma, Diabetes, Diarrhea, High Cholesterol, Hypertension, Joint Pain, Stroke, TB, Thyroid disease.","ECG


HTN


headache


Endoscopy


Diabeties


Gastroscopy


joint pains


Hypertension


critical care


Blood Pressure


Kidney Biopsy


Kidney Disease


abdominal pain


 Family Medicine


Chronic Diarrhea


General Medicine


Nephritic Syndrome


Diabetes Management


Corona-Virus Treatment


Hepatitis C Treatment


Increase frequency of urine",,,Anum Hospital,"C24, W645+CR2, Khokhrapar Number 2, Extension Colony Pak Kausar Town, Malir, Karachi",Rs. 700,"Monday
3:00pm - 4:00pm
Thursday

3:00pm - 4:00pm

Sunday

- 4:00pm",,,,https://instacare.pk/doctors/karachi/internal-medicine/dr-ahmed-perwaiz
Dr. Abdur Rauf Mazhar,32 Year,Yes,Nephrologist,"Experience: Mukhtar A Sheikh Hospital. Dr. Abdur Rauf Mazhar  is a Nephrologist . He is having over 31 years of experience in the field of Nephrology and practices at  Mukhtar A Sheikh Hospital .  His field of interest includes Peritoneal Dialysis, Permanent Double Lumen Catheter, Metabolic Abnormality, Nephrotic Syndrome, Blood Or Protein In Urine, End-Stage Kidney Disease, Hemolytic Uremic Syndrome, Kidney Cancer, Kidney Failure, Both Acute And Chronic, Kidney Infections, Kidney Stones, Kidney Swelling Due To Glomerulonephritis Or Interstitial Nephritis, Polycystic Kidney Disease, Renal Artery Stenosis, Acid Base Disbalance, Blood Pressure Expert, Hemodialysis, Kidney Transplant, Swelling, Temporary Double Lumen Catheter.","Swelling


Hemodialysis


Kidney Biopsy


Kidney Cancer


Kidney Transplant


Kidney Infections


Nephrotic Syndrome


Peritoneal Dialysis


Diarrhea Treatment


Acid Base Disbalance


Blood Pressure Expert
 

Renal Artery Stenosis


Chronic renal failure


Metabolic Abnormality


Immunological disease


Infertility Treatment


Hepatitis C Treatment


Corona-Virus Treatment


End-Stage KidneyDisease


Urinary-tract infection


Blood Or Protein In Urine


Polycystic Kidney Disease


Hemolytic Uremic Syndrome


Permanent Double Lumen Catheter


Kidney Failure Both Acute And Chronic


Kidney Stones Although A Urologist May Also Treat This",,,,,,,,,,https://instacare.pk/doctors/multan/nephrologist/dr-abdur-rauf-mazhar
Dr. Agha Ebrahim,42 Year,Yes,Chiropractor,"Dr. Agha Ebrahim  is a Chiropractor.  He is having over 41 years of experience in the field of  Chiropractor. He practices at  Dr Agha Ebrahim .  His field of interest includes  Sports Massage Therapy, Transcutaneous Electrical Nerve Stimulation (TENS), Back Sprains And Strains, Cervicogenic Headaches, Coccydynia, Degenerative Disc Disease, Herniated Disc, Piriformis Syndrome, Sciatica, Short Leg Or Leg Length Discrepancy, Spinal Osteoarthritis, Whiplash, Heat Therapy, Pre And Post Natal Massage, Pregnancy Exercise.","Sciatica


Coccydynia


Herniated Disc


Pregnancy Exercise


Piriformis Syndrome


Spinal Osteoarthritis


Cervicogenic Headaches


Sports Massage Therapy


Back Sprains And Strains


Degenerative Disc Disease


Pre And Post Natal Massage


Trauma Injury Physiotherapy
 

Short Leg Or Leg Length Discrepancy


Transcutaneous Electrical Nerve Stimulation",,,Dr Agha Ebrahim,"Banglow No A 548 Block 5, Samdani hospital, Gulshan e Iqbal, Karachi",Rs. 2000,"Monday
3:00pm - 8:00pm
Tuesday
3:00pm - 8:00pm
Wednesday
3:00pm - 8:00pm
Thursday

3:00pm - 8:00pm

Friday

3:00pm - 8:00pm

Saturday

3:00pm - 8:00pm

Sunday

3:00pm- 8:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/karachi/chiropractor/dr-agha-ebrahim
Dr. Abdul Jalil Baig,42 Year,No,Nutritionist,"Dr. Abdul Jalil Baig  is a Nutritionist. He is having over 40 years of experience in the field of Nutrition. He is  practicing  at  Sadri Health Services . His field of interest includes Bone disorder, Diabetes, Children Health/Growth, Digestive health, Hypertension,  Mental Health, PCOs,  Weight management, Workout plans.","PCOs


Weight Loss


Diabetic Diet


Hypertension


Antenatal Diet


Workout plans


Mental Health


Bone disorders


Weight-Loss Diet


Digestive health


Weight management


Children Health/Growth


Nutritionist For Diabetes


Nutritional & Psychological Counselling for Diabetes",,,,,,,,,,https://instacare.pk/doctors/islamabad/nutritionist/dr-abdul-jalil-baig
Dr. Abdul Hafeez,36 Year,Yes,Diabetologist,"Dr. Abdul Hafeez  is a Diabetic Foot Surgeon.  He is having over 34  years of experience in the field of Diabetology and practices at  The Diabetes Centre .  His field of interest includes  Diabetes, Diabetes Management, Lipid Abnormalities, Thyroid Gland Diseases, Thyroid Nodule, Weight lose, Hypertension.","Diabetes


Weight lose


Hypertension


Thyroid Nodule


Thyroid Treatment


Diabetes Management


Lipid Abnormalities


Cardiology Medicine


Thyroid Gland Diseases


Osteoporosis Management",,,,,,,,,,https://instacare.pk/doctors/islamabad/diabetologist/dr-abdul-hafeez
Asad Ahmad Rao,11 Year,No,Psychologist,,"Phobias


Depression


Social Phobia


Mood disorders


Panic Attacks


Family Problems


Anxiety Disorder


Stress Management


Emotional Outbursts


Early Parenting Issues
 

Social Anxiety Disorder


Individual Psychotherapy


Personality/ IQ Assessment",,,Iffat Anwar Medical Complex Hospital,"16 - Awaisia Society, Near Ghazi Chowk College Road,, Township, Lahore",Rs. 2500,"Monday
1:00pm - 6:00pm
Tuesday
1:00pm - 6:00pm
Wednesday
1:00pm - 6:00pm
Thursday

1:00pm - 6:00pm

Friday

1:00pm - 6:00pm

Saturday

1:00pm - 6:00pm

Sunday

3:00pm- 6:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/psychologist/asad-ahmad-rao
Dr. Aneela Darbar,27 Year,Yes,Neurosurgeon,"Dr. Aneela Darbar   is a Consultant and Head of Neurosurgeon. She is having over 26 years of experience in the field of Neurosurgery and practices at  Mukhtar A Sheikh Hospital Once  in a month . Her field of interest includes  Cerebral Palsy, Epilepsy, Spinal Disc Herniation, Scoliosis, Brain Tumor, Parkinson's Disease, Pediatric Brain Tumors, Spinal Cord Injury, Stroke, Pituitary Gland Tumors, Intracranial Hemorrhage, Subarachnoid Hemorrhage, Subdural Hemorrhage, Hemorrhage, Neuro fibromatosis, Acoustic Neuroma, Aneurysms, Arteriovenous Malformation, Astrocytoma, Balance Problems, Benign Peripheral Nerve Tumor, Brachial Plexus Injury, Brain Aneurysm, Brain AVM (arteriovenous Malformation), Brain Lymphoma, Brain Metastases, Carotid Artery Disease, Carotid Artery Stenosis, Carpal Tunnel Syndrome, Cavernous Malformations","Stroke


Seizures


Migraine


Aneurysms


Scoliosis


Myoclonus


Sciatica


Astrocytoma


Brain Tumor


Spina Bifida


Brain Aneurysm


Brain Lymphoma


Cerebral Palsy


Chondrosarcoma


Spinal Stenosis


Vertebral Tumor


Acoustic Neuroma


Spinal Fixation


Pituitary Tumors


Balance Problems


Brain Metastases


Cerebral Abscess


Pain Management


Neurofibromatosis


Spinal Cord Tumor


Stress Headaches


Spinal Cord Injury


Cerebral Herniation


Chiari Malformation


Subdural Hemorrhage


Paeds neurosurgery


Spinal Cord Lymphoma


Trigeminal Neuralgia


Peripheral Neuropathy


Pituitary Gland Tumors


Brachial Plexus Injury


Carpal Tunnel Syndrome


Carotid Artery Disease


Spinal Disc Herniation


Neuromuscular Diseases


Carotid Artery Stenosis


Peripheral Nerve Tumors


Subarachnoid Hemorrhage


Spinal Disc Procedures


Neuromuscular disorders


Peripheral Nerve Injuries


Arteriovenous Malformation


Nasal And Paranasal Tumors


Raised Intracranial Pressure


Benign Peripheral Nerve Tumor


Transient Ischemic Attack (TIA)


Brain AVM (arteriovenous Malformation)


Spinal Arteriovenous Malformation (AVM)",,,,,,,,,,https://instacare.pk/doctors/multan/neurosurgeon/dr-aneela-darbar
