Name,Type,Years of Expereience,About,Education,Services,Diseases,Hospital Name,Doctor Schedule,Minimum Fees,Languages
Dr. Mushtaq Badami,General Physician,Less than 1 years of experience,"Dr. Mushtaq Badami is one of the best General Physician in Karachi with a high patient satisfaction rate. He has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Mushtaq Badami aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Karachi.To book an appointment with Dr. Mushtaq Badami, call (042 32500989/021 37120261) or click on Book an Appointment.",,,Nausea,Taj Medical Complex (TMC),Mon : 05:00 PM to 09:00 PM,,
Assoc. Prof. Dr. Ashar Afaq,General Physician,Less than 1 years of experience,"Assoc. Prof. Dr. Ashar Afaq is one of the best General Physician in Karachi with a high patient satisfaction rate. He has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Assoc. Prof. Dr. Ashar Afaq aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Karachi.To book an appointment with Assoc. Prof. Dr. Ashar Afaq, call (042 32500989/021 37120261) or click on Book an Appointment.",,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Backache
Nausea
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",British Medical Practice,"Sun, Mon, Tue, Wed, Thu, Fri, Sat : 05:00 PM to 09:00 PM",,"English, Urdu."
Dr. Aatif Inam Shami,General Physician,Less than 1 years of experience,"Dr. Aatif Inam Shami is one of the best General Physician in Lahore with a high patient satisfaction rate. He has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Aatif Inam Shami aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Aatif Inam Shami, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS(Pak)
FRCSEd (UK)","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Malaria
Gas (Flatulence)
Sunstroke
Mumps
Chikungunya
Bursitis (Bursa)
Hernia
Electrolyte Imbalance
Vitamin D Deficiency
Fissures
Headache
Pleurisy
Hepatitis C
Albinism
Menstruation Problems
Influenza
Food Poisoning
Typhoid Fever
Enteric Fever
Abdominal Pain
Pneumonia in Children
Hiccups
Bloating
Canker Sore
Diarrhoea
Pollen Allergy
Jaundice
Pimples
Khasra (Measles)
Osteoporosis
Pilonidal Cyst
Whooping Cough (Pertussis)
Chicken Pox
Fever
Appendicitis
Backache
Sore Throat
Common Cold
Hepatitis A
Plague
Intestinal Obstruction
Cholera
Hepatitis B
Heartburn
Rabies
Bawaseer (Piles)",Advanced Medical Center,"Mon, Tue, Fri : 06:00 AM to 07:00 AM",,"English, Urdu."
Dr. Umarah Israr,General Physician,Less than 1 years of experience,"Dr. Umarah Israr is one of the best General Physician in Lahore with a high patient satisfaction rate. She has the following qualifications: MBBSShe has expertise in general medicine and non-surgical health care treatments and services.She continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Umarah Israr aims to provide the best healthcare services to people of all age groups.While working in general medicine she focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.Her exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.She provides personalised treatment plans for patients of all age groups. Her expertise in advanced general medicine makes her one of the top certified General Physician in Lahore.To book an appointment with Dr. Umarah Israr, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS Australian Medical Council Certified,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever
Pimples",Zahida Welfare Hospital,"Sun, Mon, Tue, Wed, Thu, Fri, Sat : 10:00 AM to 02:00 PM",,"English, Urdu."
Dr. Syed Hussain Raza Zaidi,General Physician,Less than 1 years of experience,"Dr. Syed Hussain Raza Zaidi is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Syed Hussain Raza Zaidi aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Syed Hussain Raza Zaidi, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever
Pimples
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever",Kingston Medical Clinic,"Mon, Tue, Wed, Thu, Fri, Sat : 05:00 PM to 09:00 PM",,Raza Zaidi is fluent
Dr. Ilyas Anjum,General Physician,Less than 1 years of experience,"Dr. Ilyas Anjum is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Ilyas Anjum aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Ilyas Anjum, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever
Pimples",Dr Anjum Medical Center,"Mon, Tue, Wed, Thu, Fri, Sat : 05:00 PM to 10:00 PM",,"English, Urdu."
Dr. Saad Ali Khan,General Physician,Less than 1 years of experience,"Dr. Saad Ali Khan is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Saad Ali Khan aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Saad Ali Khan, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Backache
Nausea
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever
Pimples",Kashif Healthcare Clinic,"Mon, Tue, Wed, Thu, Fri, Sat : 07:00 PM to 10:00 PM",,"English, Urdu."
Dr. Nadeem Islam Sheikh,General Physician,8 years of experience,"Dr. Nadeem Islam Sheikh is one of the best General Physician in Islamabad with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Nadeem Islam Sheikh aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Islamabad.To book an appointment with Dr. Nadeem Islam Sheikh, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Malaria
Gas (Flatulence)
Sunstroke
Mumps
Chikungunya
Bursitis (Bursa)
Hernia
Electrolyte Imbalance
Vitamin D Deficiency
Fissures
Headache
Pleurisy
Hepatitis C
Albinism
Menstruation Problems
Influenza
Food Poisoning
Typhoid Fever
Enteric Fever
Abdominal Pain
Pneumonia in Children
Hiccups
Bloating
Canker Sore
Diarrhoea
Pollen Allergy
Jaundice
Khasra (Measles)
Osteoporosis
Pilonidal Cyst
Whooping Cough (Pertussis)
Chicken Pox
Fever
Appendicitis
Backache
Sore Throat
Common Cold
Hepatitis A
Plague
Intestinal Obstruction
Cholera
Hepatitis B
Heartburn
Rabies
Bawaseer (Piles)",Dr. Nadeem Islam Sheikh Hospital,"Sun, Mon, Tue, Wed, Thu, Fri, Sat : 05:00 PM to 09:00 PM",,"English, Urdu."
Dr. Adnan Iftikhar,General Physician,Less than 1 years of experience,"Dr. Adnan Iftikhar is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBS, MD, CERTHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Adnan Iftikhar aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Adnan Iftikhar, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS, MD, CERT (Diabetology), CERT (Hepatology)","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Malaria
Gas (Flatulence)
Sunstroke
Mumps
Chikungunya
Bursitis (Bursa)
Hernia
Electrolyte Imbalance
Vitamin D Deficiency
Fissures
Headache
Pleurisy
Hepatitis C
Albinism
Menstruation Problems
Influenza
Food Poisoning
Typhoid Fever
Enteric Fever
Abdominal Pain
Pneumonia in Children
Hiccups
Bloating
Canker Sore
Diarrhoea
Pollen Allergy
Jaundice
Pimples
Khasra (Measles)
Osteoporosis
Pilonidal Cyst
Whooping Cough (Pertussis)
Chicken Pox
Fever
Appendicitis
Backache
Sore Throat
Common Cold
Hepatitis A
Plague
Intestinal Obstruction
Cholera
Hepatitis B
Heartburn
Rabies
Bawaseer (Piles)",Life Medical Store And Clinic,"Mon, Tue, Wed, Thu, Fri, Sat : 06:00 PM to 11:00 PM",,"English, Urdu."
Dr. Muhammad Umer,General Physician,Less than 1 years of experience,"Dr. Muhammad Umer is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Muhammad Umer aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Muhammad Umer, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Malaria
Gas (Flatulence)
Sunstroke
Mumps
Chikungunya
Bursitis (Bursa)
Hernia
Electrolyte Imbalance
Vitamin D Deficiency
Fissures
Headache
Pleurisy
Hepatitis C
Albinism
Menstruation Problems
Influenza
Food Poisoning
Typhoid Fever
Enteric Fever
Abdominal Pain
Pneumonia in Children
Hiccups
Bloating
Canker Sore
Diarrhoea
Pollen Allergy
Jaundice
Pimples
Khasra (Measles)
Osteoporosis
Pilonidal Cyst
Whooping Cough (Pertussis)
Chicken Pox
Fever
Appendicitis
Backache
Sore Throat
Common Cold
Hepatitis A
Plague
Intestinal Obstruction
Cholera
Hepatitis B
Heartburn
Rabies
Bawaseer (Piles)",Hanzala Arif Medical And Welfare Clinic,"Mon, Tue, Wed, Thu, Fri : 06:00 PM to 09:00 PM",,"English, Urdu."
Prof. Dr. Akhtar Memon,General Physician,Less than 1 years of experience,"Prof. Dr. Akhtar Memon is one of the best General Physician in Islamabad with a high patient satisfaction rate. He has the following qualifications: MBBS, MCPS, MOH, MRCGPHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Prof. Dr. Akhtar Memon aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Islamabad.To book an appointment with Prof. Dr. Akhtar Memon, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS from DOW University of Health Sciences (DUHS)
MCPS from Jinnah Karachi University
MOH from UAE
MRCGP from UK","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Malaria
Nausea
Gas (Flatulence)
Sunstroke
Mumps
Chikungunya
Bursitis (Bursa)
Hernia
Electrolyte Imbalance
Vitamin D Deficiency
Fissures
Headache
Pleurisy
Hepatitis C
Albinism
Menstruation Problems
Influenza
Food Poisoning
Typhoid Fever
Enteric Fever
Abdominal Pain
Pneumonia in Children
Hiccups
Bloating
Canker Sore
Diarrhoea
Pollen Allergy
Jaundice
Pimples
Khasra (Measles)
Osteoporosis
Pilonidal Cyst
Whooping Cough (Pertussis)
Chicken Pox
Fever
Appendicitis
Backache
Sore Throat
Common Cold
Hepatitis A
Plague
Intestinal Obstruction
Cholera
Hepatitis B
Heartburn
Rabies
Bawaseer (Piles)",C - Pain Diagnostics Hospital,"Sun, Mon, Tue, Wed, Thu, Fri, Sat : 05:00 PM to 09:00 PM",,"English, Urdu."
Prof. Dr. Mumtaz Jabeen Babar,General Physician,Less than 1 years of experience,"Prof. Dr. Mumtaz Jabeen Babar is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPS,MD, FAAPM (USA), Diplomate American Board of Physical Medicine & RehabilitationHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Prof. Dr. Mumtaz Jabeen Babar aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Prof. Dr. Mumtaz Jabeen Babar, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS
MD
FAAPM (USA)
Diplomate American Board of Physical Medicine & Rehabilitation","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Babar Plastic Surgery & Rehabilitation Center,"Mon, Tue, Wed, Thu, Fri : 09:00 AM to 08:00 PM",,"English, Urdu."
Dr. Muhammad Iqbal Khawaja,General Physician,Less than 1 years of experience,"Dr. Muhammad Iqbal Khawaja is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBS, MPhilHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Muhammad Iqbal Khawaja aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Muhammad Iqbal Khawaja, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
MPhil","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Khawaja Hospital,,,"English, Urdu."
Dr. Muhammad Rafique,General Physician,Less than 1 years of experience,"Dr. Muhammad Rafique is one of the best General Physician in Lahore with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Muhammad Rafique aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Muhammad Rafique, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Rehman Clinic,"Mon, Tue, Wed, Thu, Fri, Sat : 11:00 AM to 11:00 PM",,"English, Urdu."
Dr. Afifa Akram,General Physician,Less than 1 years of experience,"Dr. Afifa Akram is one of the best General Physician in Islamabad with a high patient satisfaction rate. He has the following qualifications: MBBSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Afifa Akram aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Islamabad.To book an appointment with Dr. Afifa Akram, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Naval Anchorage Medical Center,"Mon, Tue, Wed, Thu, Fri : 05:00 PM to 09:00 PM",,"English, Urdu."
